-1,93.59%,90.00%,93.45%,4.1
-1,93.59%,90.00%,93.45%,4.2
-1,93.59%,89.94%,93.50%,4.5
-1,93.57%,89.99%,93.39%,1.5
-1,93.57%,89.94%,93.45%,4
-1,93.57%,90.00%,93.40%,4.3
-1,93.57%,89.78%,93.61%,20
-1,93.54%,89.93%,93.38%,1.4
-1,93.54%,89.89%,93.44%,3.9
-1,93.54%,89.83%,93.50%,4.8
-1,93.54%,89.94%,93.40%,4.4
-1,93.54%,89.78%,93.55%,4.7
-1,93.54%,89.83%,93.49%,4.6
-1,93.52%,89.88%,93.38%,1.6
-1,93.52%,89.87%,93.38%,1.3
-1,93.52%,89.94%,93.34%,1.8
-1,93.52%,89.93%,93.34%,1.7
-1,93.52%,89.88%,93.39%,2
-1,93.52%,89.88%,93.40%,2.1
-1,93.52%,89.83%,93.45%,4.9
-1,93.52%,89.72%,93.54%,25
-1,93.52%,90.01%,93.30%,35
-1,93.52%,89.95%,93.34%,45
-1,93.52%,90.06%,93.25%,40
-1,93.50%,89.94%,93.29%,1.9
-1,93.50%,89.95%,93.28%,3.7
-1,93.50%,89.94%,93.28%,3.6
-1,93.50%,89.88%,93.34%,2.2
-1,93.48%,89.76%,93.37%,1.2
-1,93.48%,89.89%,93.28%,3.8
-1,93.48%,89.83%,93.34%,2.3
-1,93.48%,89.95%,93.23%,3.5
-1,93.48%,89.83%,93.34%,15
-1,93.46%,89.70%,93.37%,1.1
-1,93.46%,89.94%,93.17%,3
-1,93.46%,89.94%,93.17%,3.1
-1,93.46%,90.00%,93.12%,2.6
-1,93.46%,89.83%,93.28%,2.4
-1,93.46%,89.89%,93.25%,10
-1,93.43%,89.89%,93.17%,3.2
-1,93.43%,89.88%,93.17%,2.5
-1,93.43%,89.89%,93.17%,3.4
-1,93.43%,89.89%,93.17%,3.3
-1,93.43%,89.94%,93.12%,2.7
-1,93.43%,89.89%,93.17%,2.9
-1,93.41%,89.54%,93.41%,1
-1,93.41%,89.83%,93.17%,2.8
-1,93.41%,89.73%,93.28%,30
-1,93.35%,89.33%,93.45%,0.8
-1,93.28%,89.31%,93.29%,0.9
-1,93.11%,88.76%,93.37%,0.7
-1,93.04%,88.49%,93.46%,0.6
-1,92.93%,88.11%,93.54%,0.5
-1,92.70%,87.50%,93.51%,0.4
-1,92.30%,86.40%,93.56%,0.3
-1,91.78%,85.03%,93.50%,0.2
-1,91.20%,83.23%,93.72%,0.1
